trial,chunk_action_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
4,12,-7.136384010314941,57.984371185302734,-23.746706008911133,-96.3201904296875,-3.9372143745422363,74.35791015625,0.2698958461726821
4,13,-6.4595842361450195,56.481468200683594,-23.767723083496094,-96.40764617919922,-3.841179132461548,73.87974548339844,0.2684061616143456
4,14,-6.155203819274902,55.53846740722656,-23.933910369873047,-97.41458892822266,-3.879955768585205,73.35304260253906,0.26779191227520344
4,15,-6.355678558349609,54.93072509765625,-23.571285247802734,-98.02680969238281,-3.908431053161621,73.8244857788086,0.26655392077201323
4,16,-6.4101691246032715,55.9680290222168,-21.889219284057617,-98.74214935302734,-4.139101982116699,72.94062042236328,0.26474750154908677
4,17,-6.623520851135254,54.52238845825195,-21.587825775146484,-99.94552612304688,-4.16768741607666,72.70854949951172,0.2624798788782439
4,18,-6.8275346755981445,54.617218017578125,-20.243749618530273,-100.74212646484375,-4.123367786407471,72.28717041015625,0.2599440834177962
4,19,-6.451539039611816,54.15475082397461,-19.029680252075195,-102.17638397216797,-4.098987102508545,72.00505065917969,0.2566806323522507
4,20,-6.231905937194824,52.31633377075195,-19.56427574157715,-102.1722412109375,-3.964083433151245,72.43064880371094,0.25546128036527305
4,21,-5.996050834655762,50.39714813232422,-20.450435638427734,-101.6420669555664,-3.750554084777832,71.54200744628906,0.254963545037807
4,22,-5.942233085632324,50.967567443847656,-18.578760147094727,-101.78392791748047,-3.797694444656372,71.24269104003906,0.2518491618582135
4,23,-6.220481872558594,49.91165542602539,-19.209075927734375,-101.74299621582031,-3.6288623809814453,70.7332763671875,0.25179229159118804
4,24,-6.6442413330078125,50.391082763671875,-19.046524047851562,-101.87300109863281,-3.7654194831848145,69.02529907226562,0.25203820415338674
4,25,-6.457540988922119,50.15073776245117,-19.674243927001953,-102.16910552978516,-3.7358908653259277,69.97958374023438,0.2529222102838995
4,26,-6.731193542480469,49.06934356689453,-19.263904571533203,-103.13165283203125,-3.5236916542053223,69.44995880126953,0.25032084891898937
4,27,-7.75645637512207,49.445735931396484,-19.55570411682129,-103.26725006103516,-3.693477153778076,69.3130111694336,0.251384848528722
4,28,-7.390098571777344,48.848655700683594,-19.675926208496094,-104.43132019042969,-3.440030097961426,69.73805236816406,0.2503922578281432
4,29,-7.603607177734375,48.23179626464844,-21.071168899536133,-104.70608520507812,-3.5211100578308105,69.40908813476562,0.2524288410507629
4,30,-7.482871055603027,48.12759780883789,-21.089740753173828,-105.08828735351562,-3.3900694847106934,69.34288024902344,0.2521787496307125
4,31,-7.962911605834961,47.260581970214844,-21.613698959350586,-104.8533706665039,-3.4847185611724854,69.85460662841797,0.2522157978561757
4,32,-7.97320556640625,46.57099914550781,-21.764591217041016,-105.35678100585938,-3.382481575012207,71.37828063964844,0.2514006687959987
4,33,-8.084395408630371,45.62372589111328,-22.350915908813477,-105.52110290527344,-3.3821897506713867,70.49647521972656,0.2512929287322386
4,34,-8.393101692199707,45.220855712890625,-22.201623916625977,-105.4886245727539,-3.4170427322387695,70.99920654296875,0.2504295229960525
4,35,-8.308448791503906,43.72462463378906,-22.61356544494629,-106.17317199707031,-3.6245369911193848,70.21703338623047,0.24893844344965704
4,36,-8.313426971435547,42.993934631347656,-22.90306282043457,-106.66030883789062,-3.7236649990081787,69.38862609863281,0.24831506553806218
4,37,-8.11997127532959,42.47710418701172,-24.056644439697266,-106.0448989868164,-3.600377082824707,69.60649108886719,0.2503737336203832
4,38,-8.16103458404541,42.73717498779297,-23.33321189880371,-106.23080444335938,-3.7670037746429443,69.7828369140625,0.24909105818440236
4,39,-8.328964233398438,41.92383575439453,-24.27452850341797,-105.2073745727539,-3.4505348205566406,68.9921646118164,0.2504053485868569
4,40,-8.471545219421387,41.69846725463867,-24.132247924804688,-105.36378479003906,-3.296326160430908,68.20470428466797,0.24971988960067543
4,41,-8.787145614624023,42.45887756347656,-23.761554718017578,-105.26385498046875,-3.4758455753326416,65.0687255859375,0.25003393429426435
4,42,-9.288838386535645,42.981361389160156,-23.03518295288086,-105.61737823486328,-3.573185920715332,52.40061950683594,0.24905406569835142
4,43,-9.285906791687012,41.75846862792969,-24.109251022338867,-105.51419830322266,-3.2444305419921875,50.25934982299805,0.24969250148570962
4,44,-9.796283721923828,41.83401870727539,-23.960895538330078,-105.37521362304688,-3.312931537628174,50.53647232055664,0.24953782433477162
4,45,-11.032170295715332,43.93510055541992,-24.768795013427734,-104.30223083496094,-3.264448642730713,56.47276306152344,0.25452549767670346
4,46,-13.294899940490723,45.38897705078125,-26.853286743164062,-103.0946273803711,-2.28865385055542,62.30095291137695,0.260902314193156
4,47,-14.674500465393066,44.56836700439453,-28.75286102294922,-101.86344909667969,-1.9942880868911743,57.56431579589844,0.2636468205373842
4,48,-14.109090805053711,43.85648727416992,-28.62635040283203,-102.82276916503906,-2.2923829555511475,57.03269958496094,0.2624050858849623
4,49,-7.41851806640625,34.79290008544922,-17.467947006225586,-86.60893249511719,-3.9364750385284424,44.706626892089844,0.23228643636012583
5,0,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
5,1,-11.401455879211426,82.38004302978516,2.8751564025878906,-91.49984741210938,-5.004711627960205,61.380226135253906,0.24723825563070084
5,2,-10.924521446228027,78.14875793457031,0.7935009002685547,-92.72856903076172,-4.976020812988281,63.3020133972168,0.2468576774516738
5,3,-11.47957992553711,75.88359069824219,-1.9865798950195312,-92.12325286865234,-5.251201629638672,67.03495025634766,0.24995165091133786
5,4,-11.507927894592285,73.24602508544922,-5.477984428405762,-91.63078308105469,-5.021414279937744,66.6123275756836,0.25375156620973005
5,5,-11.337620735168457,68.4813461303711,-9.58119010925293,-91.98087310791016,-4.836231708526611,68.10405731201172,0.2562981037249369
5,6,-10.1266450881958,65.11013793945312,-16.724376678466797,-91.6252670288086,-4.083089351654053,71.66853332519531,0.26484476103335797
5,7,-9.903112411499023,64.70195007324219,-18.775264739990234,-92.03657531738281,-4.4576191902160645,76.33252716064453,0.2677211824029982
5,8,-8.980083465576172,62.9691162109375,-19.98879623413086,-93.52557373046875,-4.420734405517578,75.87068939208984,0.2683117960950243
5,9,-7.996913909912109,62.445804595947266,-19.857152938842773,-94.10737609863281,-4.33853816986084,75.0087661743164,0.26771279522365077
5,10,-7.539229393005371,60.78855514526367,-21.791290283203125,-94.9236068725586,-4.193491458892822,74.55567932128906,0.26932141570955165
5,11,-7.432941436767578,59.43809127807617,-22.89148712158203,-95.76006317138672,-4.126294136047363,74.54533386230469,0.2698885586760599
5,12,-7.136384010314941,57.984371185302734,-23.746706008911133,-96.3201904296875,-3.9372143745422363,74.35791015625,0.2698958461726821
5,13,-6.4595842361450195,56.481468200683594,-23.767723083496094,-96.40764617919922,-3.841179132461548,73.87974548339844,0.2684061616143456
5,14,-6.155203819274902,55.53846740722656,-23.933910369873047,-97.41458892822266,-3.879955768585205,73.35304260253906,0.26779191227520344
5,15,-6.355678558349609,54.93072509765625,-23.571285247802734,-98.02680969238281,-3.908431053161621,73.8244857788086,0.26655392077201323
5,16,-6.4101691246032715,55.9680290222168,-21.889219284057617,-98.74214935302734,-4.139101982116699,72.94062042236328,0.26474750154908677
5,17,-6.623520851135254,54.52238845825195,-21.587825775146484,-99.94552612304688,-4.16768741607666,72.70854949951172,0.2624798788782439
5,18,-6.8275346755981445,54.617218017578125,-20.243749618530273,-100.74212646484375,-4.123367786407471,72.28717041015625,0.2599440834177962
5,19,-6.451539039611816,54.15475082397461,-19.029680252075195,-102.17638397216797,-4.098987102508545,72.00505065917969,0.2566806323522507
5,20,-6.231905937194824,52.31633377075195,-19.56427574157715,-102.1722412109375,-3.964083433151245,72.43064880371094,0.25546128036527305
5,21,-5.996050834655762,50.39714813232422,-20.450435638427734,-101.6420669555664,-3.750554084777832,71.54200744628906,0.254963545037807
5,22,-5.942233085632324,50.967567443847656,-18.578760147094727,-101.78392791748047,-3.797694444656372,71.24269104003906,0.2518491618582135
5,23,-6.220481872558594,49.91165542602539,-19.209075927734375,-101.74299621582031,-3.6288623809814453,70.7332763671875,0.25179229159118804
5,24,-6.6442413330078125,50.391082763671875,-19.046524047851562,-101.87300109863281,-3.7654194831848145,69.02529907226562,0.25203820415338674
5,25,-6.457540988922119,50.15073776245117,-19.674243927001953,-102.16910552978516,-3.7358908653259277,69.97958374023438,0.2529222102838995
5,26,-6.731193542480469,49.06934356689453,-19.263904571533203,-103.13165283203125,-3.5236916542053223,69.44995880126953,0.25032084891898937
5,27,-7.75645637512207,49.445735931396484,-19.55570411682129,-103.26725006103516,-3.693477153778076,69.3130111694336,0.251384848528722
5,28,-7.390098571777344,48.848655700683594,-19.675926208496094,-104.43132019042969,-3.440030097961426,69.73805236816406,0.2503922578281432
5,29,-7.603607177734375,48.23179626464844,-21.071168899536133,-104.70608520507812,-3.5211100578308105,69.40908813476562,0.2524288410507629
5,30,-7.482871055603027,48.12759780883789,-21.089740753173828,-105.08828735351562,-3.3900694847106934,69.34288024902344,0.2521787496307125
5,31,-7.962911605834961,47.260581970214844,-21.613698959350586,-104.8533706665039,-3.4847185611724854,69.85460662841797,0.2522157978561757
5,32,-7.97320556640625,46.57099914550781,-21.764591217041016,-105.35678100585938,-3.382481575012207,71.37828063964844,0.2514006687959987
5,33,-8.084395408630371,45.62372589111328,-22.350915908813477,-105.52110290527344,-3.3821897506713867,70.49647521972656,0.2512929287322386
5,34,-8.393101692199707,45.220855712890625,-22.201623916625977,-105.4886245727539,-3.4170427322387695,70.99920654296875,0.2504295229960525
5,35,-8.308448791503906,43.72462463378906,-22.61356544494629,-106.17317199707031,-3.6245369911193848,70.21703338623047,0.24893844344965704
5,36,-8.313426971435547,42.993934631347656,-22.90306282043457,-106.66030883789062,-3.7236649990081787,69.38862609863281,0.24831506553806218
5,37,-8.11997127532959,42.47710418701172,-24.056644439697266,-106.0448989868164,-3.600377082824707,69.60649108886719,0.2503737336203832
5,38,-8.16103458404541,42.73717498779297,-23.33321189880371,-106.23080444335938,-3.7670037746429443,69.7828369140625,0.24909105818440236
5,39,-8.328964233398438,41.92383575439453,-24.27452850341797,-105.2073745727539,-3.4505348205566406,68.9921646118164,0.2504053485868569
5,40,-8.471545219421387,41.69846725463867,-24.132247924804688,-105.36378479003906,-3.296326160430908,68.20470428466797,0.24971988960067543
5,41,-8.787145614624023,42.45887756347656,-23.761554718017578,-105.26385498046875,-3.4758455753326416,65.0687255859375,0.25003393429426435
5,42,-9.288838386535645,42.981361389160156,-23.03518295288086,-105.61737823486328,-3.573185920715332,52.40061950683594,0.24905406569835142
5,43,-9.285906791687012,41.75846862792969,-24.109251022338867,-105.51419830322266,-3.2444305419921875,50.25934982299805,0.24969250148570962
5,44,-9.796283721923828,41.83401870727539,-23.960895538330078,-105.37521362304688,-3.312931537628174,50.53647232055664,0.24953782433477162
5,45,-11.032170295715332,43.93510055541992,-24.768795013427734,-104.30223083496094,-3.264448642730713,56.47276306152344,0.25452549767670346
5,46,-13.294899940490723,45.38897705078125,-26.853286743164062,-103.0946273803711,-2.28865385055542,62.30095291137695,0.260902314193156
5,47,-14.674500465393066,44.56836700439453,-28.75286102294922,-101.86344909667969,-1.9942880868911743,57.56431579589844,0.2636468205373842
5,48,-14.109090805053711,43.85648727416992,-28.62635040283203,-102.82276916503906,-2.2923829555511475,57.03269958496094,0.2624050858849623
5,49,-7.41851806640625,34.79290008544922,-17.467947006225586,-86.60893249511719,-3.9364750385284424,44.706626892089844,0.23228643636012583
6,0,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
6,1,-11.401455879211426,82.38004302978516,2.8751564025878906,-91.49984741210938,-5.004711627960205,61.380226135253906,0.24723825563070084
6,2,-10.924521446228027,78.14875793457031,0.7935009002685547,-92.72856903076172,-4.976020812988281,63.3020133972168,0.2468576774516738
6,3,-11.47957992553711,75.88359069824219,-1.9865798950195312,-92.12325286865234,-5.251201629638672,67.03495025634766,0.24995165091133786
6,4,-11.507927894592285,73.24602508544922,-5.477984428405762,-91.63078308105469,-5.021414279937744,66.6123275756836,0.25375156620973005
6,5,-11.337620735168457,68.4813461303711,-9.58119010925293,-91.98087310791016,-4.836231708526611,68.10405731201172,0.2562981037249369
6,6,-10.1266450881958,65.11013793945312,-16.724376678466797,-91.6252670288086,-4.083089351654053,71.66853332519531,0.26484476103335797
6,7,-9.903112411499023,64.70195007324219,-18.775264739990234,-92.03657531738281,-4.4576191902160645,76.33252716064453,0.2677211824029982
6,8,-8.980083465576172,62.9691162109375,-19.98879623413086,-93.52557373046875,-4.420734405517578,75.87068939208984,0.2683117960950243
6,9,-7.996913909912109,62.445804595947266,-19.857152938842773,-94.10737609863281,-4.33853816986084,75.0087661743164,0.26771279522365077
6,10,-7.539229393005371,60.78855514526367,-21.791290283203125,-94.9236068725586,-4.193491458892822,74.55567932128906,0.26932141570955165
6,11,-7.432941436767578,59.43809127807617,-22.89148712158203,-95.76006317138672,-4.126294136047363,74.54533386230469,0.2698885586760599
6,12,-7.136384010314941,57.984371185302734,-23.746706008911133,-96.3201904296875,-3.9372143745422363,74.35791015625,0.2698958461726821
6,13,-6.4595842361450195,56.481468200683594,-23.767723083496094,-96.40764617919922,-3.841179132461548,73.87974548339844,0.2684061616143456
6,14,-6.155203819274902,55.53846740722656,-23.933910369873047,-97.41458892822266,-3.879955768585205,73.35304260253906,0.26779191227520344
6,15,-6.355678558349609,54.93072509765625,-23.571285247802734,-98.02680969238281,-3.908431053161621,73.8244857788086,0.26655392077201323
6,16,-6.4101691246032715,55.9680290222168,-21.889219284057617,-98.74214935302734,-4.139101982116699,72.94062042236328,0.26474750154908677
6,17,-6.623520851135254,54.52238845825195,-21.587825775146484,-99.94552612304688,-4.16768741607666,72.70854949951172,0.2624798788782439
6,18,-6.8275346755981445,54.617218017578125,-20.243749618530273,-100.74212646484375,-4.123367786407471,72.28717041015625,0.2599440834177962
6,19,-6.451539039611816,54.15475082397461,-19.029680252075195,-102.17638397216797,-4.098987102508545,72.00505065917969,0.2566806323522507
6,20,-6.231905937194824,52.31633377075195,-19.56427574157715,-102.1722412109375,-3.964083433151245,72.43064880371094,0.25546128036527305
6,21,-5.996050834655762,50.39714813232422,-20.450435638427734,-101.6420669555664,-3.750554084777832,71.54200744628906,0.254963545037807
6,22,-5.942233085632324,50.967567443847656,-18.578760147094727,-101.78392791748047,-3.797694444656372,71.24269104003906,0.2518491618582135
6,23,-6.220481872558594,49.91165542602539,-19.209075927734375,-101.74299621582031,-3.6288623809814453,70.7332763671875,0.25179229159118804
6,24,-6.6442413330078125,50.391082763671875,-19.046524047851562,-101.87300109863281,-3.7654194831848145,69.02529907226562,0.25203820415338674
6,25,-6.457540988922119,50.15073776245117,-19.674243927001953,-102.16910552978516,-3.7358908653259277,69.97958374023438,0.2529222102838995
6,26,-6.731193542480469,49.06934356689453,-19.263904571533203,-103.13165283203125,-3.5236916542053223,69.44995880126953,0.25032084891898937
6,27,-7.75645637512207,49.445735931396484,-19.55570411682129,-103.26725006103516,-3.693477153778076,69.3130111694336,0.251384848528722
6,28,-7.390098571777344,48.848655700683594,-19.675926208496094,-104.43132019042969,-3.440030097961426,69.73805236816406,0.2503922578281432
6,29,-7.603607177734375,48.23179626464844,-21.071168899536133,-104.70608520507812,-3.5211100578308105,69.40908813476562,0.2524288410507629
6,30,-7.482871055603027,48.12759780883789,-21.089740753173828,-105.08828735351562,-3.3900694847106934,69.34288024902344,0.2521787496307125
6,31,-7.962911605834961,47.260581970214844,-21.613698959350586,-104.8533706665039,-3.4847185611724854,69.85460662841797,0.2522157978561757
6,32,-7.97320556640625,46.57099914550781,-21.764591217041016,-105.35678100585938,-3.382481575012207,71.37828063964844,0.2514006687959987
6,33,-8.084395408630371,45.62372589111328,-22.350915908813477,-105.52110290527344,-3.3821897506713867,70.49647521972656,0.2512929287322386
6,34,-8.393101692199707,45.220855712890625,-22.201623916625977,-105.4886245727539,-3.4170427322387695,70.99920654296875,0.2504295229960525
6,35,-8.308448791503906,43.72462463378906,-22.61356544494629,-106.17317199707031,-3.6245369911193848,70.21703338623047,0.24893844344965704
6,36,-8.313426971435547,42.993934631347656,-22.90306282043457,-106.66030883789062,-3.7236649990081787,69.38862609863281,0.24831506553806218
6,37,-8.11997127532959,42.47710418701172,-24.056644439697266,-106.0448989868164,-3.600377082824707,69.60649108886719,0.2503737336203832
6,38,-8.16103458404541,42.73717498779297,-23.33321189880371,-106.23080444335938,-3.7670037746429443,69.7828369140625,0.24909105818440236
6,39,-8.328964233398438,41.92383575439453,-24.27452850341797,-105.2073745727539,-3.4505348205566406,68.9921646118164,0.2504053485868569
6,40,-8.471545219421387,41.69846725463867,-24.132247924804688,-105.36378479003906,-3.296326160430908,68.20470428466797,0.24971988960067543
6,41,-8.787145614624023,42.45887756347656,-23.761554718017578,-105.26385498046875,-3.4758455753326416,65.0687255859375,0.25003393429426435
6,42,-9.288838386535645,42.981361389160156,-23.03518295288086,-105.61737823486328,-3.573185920715332,52.40061950683594,0.24905406569835142
6,43,-9.285906791687012,41.75846862792969,-24.109251022338867,-105.51419830322266,-3.2444305419921875,50.25934982299805,0.24969250148570962
6,44,-9.796283721923828,41.83401870727539,-23.960895538330078,-105.37521362304688,-3.312931537628174,50.53647232055664,0.24953782433477162
6,45,-11.032170295715332,43.93510055541992,-24.768795013427734,-104.30223083496094,-3.264448642730713,56.47276306152344,0.25452549767670346
6,46,-13.294899940490723,45.38897705078125,-26.853286743164062,-103.0946273803711,-2.28865385055542,62.30095291137695,0.260902314193156
6,47,-14.674500465393066,44.56836700439453,-28.75286102294922,-101.86344909667969,-1.9942880868911743,57.56431579589844,0.2636468205373842
6,48,-14.109090805053711,43.85648727416992,-28.62635040283203,-102.82276916503906,-2.2923829555511475,57.03269958496094,0.2624050858849623
6,49,-7.41851806640625,34.79290008544922,-17.467947006225586,-86.60893249511719,-3.9364750385284424,44.706626892089844,0.23228643636012583
7,0,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
7,1,-11.401455879211426,82.38004302978516,2.8751564025878906,-91.49984741210938,-5.004711627960205,61.380226135253906,0.24723825563070084
7,2,-10.924521446228027,78.14875793457031,0.7935009002685547,-92.72856903076172,-4.976020812988281,63.3020133972168,0.2468576774516738
7,3,-11.47957992553711,75.88359069824219,-1.9865798950195312,-92.12325286865234,-5.251201629638672,67.03495025634766,0.24995165091133786
7,4,-11.507927894592285,73.24602508544922,-5.477984428405762,-91.63078308105469,-5.021414279937744,66.6123275756836,0.25375156620973005
7,5,-11.337620735168457,68.4813461303711,-9.58119010925293,-91.98087310791016,-4.836231708526611,68.10405731201172,0.2562981037249369
7,6,-10.1266450881958,65.11013793945312,-16.724376678466797,-91.6252670288086,-4.083089351654053,71.66853332519531,0.26484476103335797
7,7,-9.903112411499023,64.70195007324219,-18.775264739990234,-92.03657531738281,-4.4576191902160645,76.33252716064453,0.2677211824029982
7,8,-8.980083465576172,62.9691162109375,-19.98879623413086,-93.52557373046875,-4.420734405517578,75.87068939208984,0.2683117960950243
7,9,-7.996913909912109,62.445804595947266,-19.857152938842773,-94.10737609863281,-4.33853816986084,75.0087661743164,0.26771279522365077
7,10,-7.539229393005371,60.78855514526367,-21.791290283203125,-94.9236068725586,-4.193491458892822,74.55567932128906,0.26932141570955165
7,11,-7.432941436767578,59.43809127807617,-22.89148712158203,-95.76006317138672,-4.126294136047363,74.54533386230469,0.2698885586760599
7,12,-7.136384010314941,57.984371185302734,-23.746706008911133,-96.3201904296875,-3.9372143745422363,74.35791015625,0.2698958461726821
7,13,-6.4595842361450195,56.481468200683594,-23.767723083496094,-96.40764617919922,-3.841179132461548,73.87974548339844,0.2684061616143456
7,14,-6.155203819274902,55.53846740722656,-23.933910369873047,-97.41458892822266,-3.879955768585205,73.35304260253906,0.26779191227520344
7,15,-6.355678558349609,54.93072509765625,-23.571285247802734,-98.02680969238281,-3.908431053161621,73.8244857788086,0.26655392077201323
7,16,-6.4101691246032715,55.9680290222168,-21.889219284057617,-98.74214935302734,-4.139101982116699,72.94062042236328,0.26474750154908677
7,17,-6.623520851135254,54.52238845825195,-21.587825775146484,-99.94552612304688,-4.16768741607666,72.70854949951172,0.2624798788782439
7,18,-6.8275346755981445,54.617218017578125,-20.243749618530273,-100.74212646484375,-4.123367786407471,72.28717041015625,0.2599440834177962
7,19,-6.451539039611816,54.15475082397461,-19.029680252075195,-102.17638397216797,-4.098987102508545,72.00505065917969,0.2566806323522507
7,20,-6.231905937194824,52.31633377075195,-19.56427574157715,-102.1722412109375,-3.964083433151245,72.43064880371094,0.25546128036527305
7,21,-5.996050834655762,50.39714813232422,-20.450435638427734,-101.6420669555664,-3.750554084777832,71.54200744628906,0.254963545037807
7,22,-5.942233085632324,50.967567443847656,-18.578760147094727,-101.78392791748047,-3.797694444656372,71.24269104003906,0.2518491618582135
7,23,-6.220481872558594,49.91165542602539,-19.209075927734375,-101.74299621582031,-3.6288623809814453,70.7332763671875,0.25179229159118804
7,24,-6.6442413330078125,50.391082763671875,-19.046524047851562,-101.87300109863281,-3.7654194831848145,69.02529907226562,0.25203820415338674
7,25,-6.457540988922119,50.15073776245117,-19.674243927001953,-102.16910552978516,-3.7358908653259277,69.97958374023438,0.2529222102838995
7,26,-6.731193542480469,49.06934356689453,-19.263904571533203,-103.13165283203125,-3.5236916542053223,69.44995880126953,0.25032084891898937
7,27,-7.75645637512207,49.445735931396484,-19.55570411682129,-103.26725006103516,-3.693477153778076,69.3130111694336,0.251384848528722
7,28,-7.390098571777344,48.848655700683594,-19.675926208496094,-104.43132019042969,-3.440030097961426,69.73805236816406,0.2503922578281432
7,29,-7.603607177734375,48.23179626464844,-21.071168899536133,-104.70608520507812,-3.5211100578308105,69.40908813476562,0.2524288410507629
7,30,-7.482871055603027,48.12759780883789,-21.089740753173828,-105.08828735351562,-3.3900694847106934,69.34288024902344,0.2521787496307125
7,31,-7.962911605834961,47.260581970214844,-21.613698959350586,-104.8533706665039,-3.4847185611724854,69.85460662841797,0.2522157978561757
7,32,-7.97320556640625,46.57099914550781,-21.764591217041016,-105.35678100585938,-3.382481575012207,71.37828063964844,0.2514006687959987
7,33,-8.084395408630371,45.62372589111328,-22.350915908813477,-105.52110290527344,-3.3821897506713867,70.49647521972656,0.2512929287322386
7,34,-8.393101692199707,45.220855712890625,-22.201623916625977,-105.4886245727539,-3.4170427322387695,70.99920654296875,0.2504295229960525
7,35,-8.308448791503906,43.72462463378906,-22.61356544494629,-106.17317199707031,-3.6245369911193848,70.21703338623047,0.24893844344965704
7,36,-8.313426971435547,42.993934631347656,-22.90306282043457,-106.66030883789062,-3.7236649990081787,69.38862609863281,0.24831506553806218
7,37,-8.11997127532959,42.47710418701172,-24.056644439697266,-106.0448989868164,-3.600377082824707,69.60649108886719,0.2503737336203832
7,38,-8.16103458404541,42.73717498779297,-23.33321189880371,-106.23080444335938,-3.7670037746429443,69.7828369140625,0.24909105818440236
7,39,-8.328964233398438,41.92383575439453,-24.27452850341797,-105.2073745727539,-3.4505348205566406,68.9921646118164,0.2504053485868569
7,40,-8.471545219421387,41.69846725463867,-24.132247924804688,-105.36378479003906,-3.296326160430908,68.20470428466797,0.24971988960067543
7,41,-8.787145614624023,42.45887756347656,-23.761554718017578,-105.26385498046875,-3.4758455753326416,65.0687255859375,0.25003393429426435
7,42,-9.288838386535645,42.981361389160156,-23.03518295288086,-105.61737823486328,-3.573185920715332,52.40061950683594,0.24905406569835142
7,43,-9.285906791687012,41.75846862792969,-24.109251022338867,-105.51419830322266,-3.2444305419921875,50.25934982299805,0.24969250148570962
7,44,-9.796283721923828,41.83401870727539,-23.960895538330078,-105.37521362304688,-3.312931537628174,50.53647232055664,0.24953782433477162
7,45,-11.032170295715332,43.93510055541992,-24.768795013427734,-104.30223083496094,-3.264448642730713,56.47276306152344,0.25452549767670346
7,46,-13.294899940490723,45.38897705078125,-26.853286743164062,-103.0946273803711,-2.28865385055542,62.30095291137695,0.260902314193156
7,47,-14.674500465393066,44.56836700439453,-28.75286102294922,-101.86344909667969,-1.9942880868911743,57.56431579589844,0.2636468205373842
7,48,-14.109090805053711,43.85648727416992,-28.62635040283203,-102.82276916503906,-2.2923829555511475,57.03269958496094,0.2624050858849623
7,49,-7.41851806640625,34.79290008544922,-17.467947006225586,-86.60893249511719,-3.9364750385284424,44.706626892089844,0.23228643636012583
8,0,-11.670206069946289,84.7048568725586,1.5236015319824219,-89.53833770751953,-4.724574089050293,59.86946105957031,0.25193641991110527
8,1,-11.401455879211426,82.38004302978516,2.8751564025878906,-91.49984741210938,-5.004711627960205,61.380226135253906,0.24723825563070084
8,2,-10.924521446228027,78.14875793457031,0.7935009002685547,-92.72856903076172,-4.976020812988281,63.3020133972168,0.2468576774516738
8,3,-11.47957992553711,75.88359069824219,-1.9865798950195312,-92.12325286865234,-5.251201629638672,67.03495025634766,0.24995165091133786
8,4,-11.507927894592285,73.24602508544922,-5.477984428405762,-91.63078308105469,-5.021414279937744,66.6123275756836,0.25375156620973005
8,5,-11.337620735168457,68.4813461303711,-9.58119010925293,-91.98087310791016,-4.836231708526611,68.10405731201172,0.2562981037249369
8,6,-10.1266450881958,65.11013793945312,-16.724376678466797,-91.6252670288086,-4.083089351654053,71.66853332519531,0.26484476103335797
8,7,-9.903112411499023,64.70195007324219,-18.775264739990234,-92.03657531738281,-4.4576191902160645,76.33252716064453,0.2677211824029982
8,8,-8.980083465576172,62.9691162109375,-19.98879623413086,-93.52557373046875,-4.420734405517578,75.87068939208984,0.2683117960950243
8,9,-7.996913909912109,62.445804595947266,-19.857152938842773,-94.10737609863281,-4.33853816986084,75.0087661743164,0.26771279522365077
8,10,-7.539229393005371,60.78855514526367,-21.791290283203125,-94.9236068725586,-4.193491458892822,74.55567932128906,0.26932141570955165
8,11,-7.432941436767578,59.43809127807617,-22.89148712158203,-95.76006317138672,-4.126294136047363,74.54533386230469,0.2698885586760599
8,12,-7.136384010314941,57.984371185302734,-23.746706008911133,-96.3201904296875,-3.9372143745422363,74.35791015625,0.2698958461726821
8,13,-6.4595842361450195,56.481468200683594,-23.767723083496094,-96.40764617919922,-3.841179132461548,73.87974548339844,0.2684061616143456
8,14,-6.155203819274902,55.53846740722656,-23.933910369873047,-97.41458892822266,-3.879955768585205,73.35304260253906,0.26779191227520344
8,15,-6.355678558349609,54.93072509765625,-23.571285247802734,-98.02680969238281,-3.908431053161621,73.8244857788086,0.26655392077201323
8,16,-6.4101691246032715,55.9680290222168,-21.889219284057617,-98.74214935302734,-4.139101982116699,72.94062042236328,0.26474750154908677
8,17,-6.623520851135254,54.52238845825195,-21.587825775146484,-99.94552612304688,-4.16768741607666,72.70854949951172,0.2624798788782439
8,18,-6.8275346755981445,54.617218017578125,-20.243749618530273,-100.74212646484375,-4.123367786407471,72.28717041015625,0.2599440834177962
8,19,-6.451539039611816,54.15475082397461,-19.029680252075195,-102.17638397216797,-4.098987102508545,72.00505065917969,0.2566806323522507
8,20,-6.231905937194824,52.31633377075195,-19.56427574157715,-102.1722412109375,-3.964083433151245,72.43064880371094,0.25546128036527305
8,21,-5.996050834655762,50.39714813232422,-20.450435638427734,-101.6420669555664,-3.750554084777832,71.54200744628906,0.254963545037807
8,22,-5.942233085632324,50.967567443847656,-18.578760147094727,-101.78392791748047,-3.797694444656372,71.24269104003906,0.2518491618582135
8,23,-6.220481872558594,49.91165542602539,-19.209075927734375,-101.74299621582031,-3.6288623809814453,70.7332763671875,0.25179229159118804
8,24,-6.6442413330078125,50.391082763671875,-19.046524047851562,-101.87300109863281,-3.7654194831848145,69.02529907226562,0.25203820415338674
