episode,filename,path,raw_chunk_id,save_idx,intervention,has_action,num_obs_dims,num_action_dims
episode_000002,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000002,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000002,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000002,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000002,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000003,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000003,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000003,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000003,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000003,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000004,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000004,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000004,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000004,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000004,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000005,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000005,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000005,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000005,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000005,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000006,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000006,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000006,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000006,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000006,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000007,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000007,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000007,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000007,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000007,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000008,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000008,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000008,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000008,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000008,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
episode_000009,debug_chunk_rawid_0_000_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,0,0,baseline,True,2310,6
episode_000009,debug_chunk_rawid_1_001_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,1,1,baseline,True,2310,6
episode_000009,debug_chunk_rawid_2_002_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,2,2,baseline,True,2310,6
episode_000009,debug_chunk_rawid_3_003_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,3,3,baseline,True,2310,6
episode_000009,debug_chunk_rawid_4_004_observation_frame.pt,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_4_004_observation_frame.pt,4,4,baseline,True,2310,6
