trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
0,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
0,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
1,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
1,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
2,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
2,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
3,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
3,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
4,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
4,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
5,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
5,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
6,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
6,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
7,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
7,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
8,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
8,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
9,False,3,0,0,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt,-11.08591079711914,87.81014251708984,4.076686859130859,-88.3463134765625,-5.0036749839782715,58.66926956176758,0.2501329010447902
9,True,3,1,1,debug_runs/20260602_174247_high_new/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,-11.313088417053223,84.69804382324219,1.648996353149414,-89.45996856689453,-5.101892471313477,60.45646286010742,0.25171461698569064
