trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
41,False,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
41,True,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
42,False,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
42,True,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
43,False,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
43,True,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
44,False,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
44,True,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
45,False,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-14.659735679626465,87.73240661621094,2.254924774169922,-88.76826477050781,-6.577951431274414,63.10675811767578,0.25317916439023247
45,True,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,-14.961318969726562,84.86685180664062,0.1274242401123047,-89.88246154785156,-6.718087196350098,64.731201171875,0.2544746621018957
